"정류소번호","정류소명","X좌표","Y좌표"
"01001","종로2가사거리","126.9877498816","37.5697651251"
"01002","창경궁.서울대학교병원","126.9965660023","37.5791830159"
"01003","명륜3가.성대입구","126.9983401004","37.5826711749"
"01004","종로2가.삼일교","126.9876130976","37.5685792736"
"01005","혜화동로터리","127.001744","37.586243"
"01006","서대문역사거리","126.966893","37.566137"
"01007","서울역사박물관.경희궁앞","126.97038","37.569135"
"01008","서울역사박물관.경희궁앞","126.970609","37.569412"
"01009","광화문","126.9752507511","37.570135474"
"01010","광화문","126.978085488","37.570216807"
"01011","종로1가","126.9809105247","37.5701184824"
"01012","종로1가","126.9813906402","37.5702290311"
"01013","종로2가","126.9855426998","37.5701386788"
"01014","종로2가","126.9862474502","37.5702571998"
"01015","종로3가.탑골공원","126.9895646721","37.5702449756"
"01016","종로3가.탑골공원","126.9899877751","37.5703605443"
"01017","종로4가.종묘","126.9947218896","37.5705069968"
"01018","종로4가.종묘","126.9952838124","37.5706271118"
"01019","종로5가.광장시장","126.9988498093","37.570756793"
"01020","종로5가.광장시장","126.9993346185","37.5708806279"
"01021","종로6가.동대문종합시장","127.0034638793","37.5709624756"
"01022","종로6가.동대문종합시장","127.0057137364","37.5711272339"
"01023","동대문역.흥인지문","127.0134512388","37.5723023219"
"01037","동대문(흥인지문)","127.0120461121","37.5719529259"
"01041","동묘앞","127.0184514373","37.5737255179"
"01044","동묘앞","127.0196720085","37.5742434484"
"01101","경기상고","126.9693634554","37.5875502159"
"01102","신교동","126.9702653687","37.5832657654"
"01103","경기상고","126.9697701102","37.5871907861"
"01104","경복고교","126.9710436571","37.585113193"
"01105","청운중학교","126.9725135095","37.5878519552"
"01106","자하문고개.윤동주문학관","126.9671261805","37.5921866176"
"01107","자하문고개.윤동주문학관","126.9671906625","37.5923353152"
"01108","청운중학교","126.9724613198","37.5881285775"
"01109","경복고교","126.9711546793","37.5849663426"
"01110","통인시장종로구보건소","126.9710500404","37.5803257033"
"01111","통인시장종로구보건소","126.9713851083","37.5805132118"
"01112","효자동","126.9706209712","37.583091043"
"01113","사직단","126.9679907155","37.5751355316"
"01114","사직동주민센터","126.9713244962","37.5761834563"
"01115","경복궁역","126.97219601","37.5768666917"
"01116","경복궁역","126.9722828893","37.5776713863"
"01117","경복궁","126.9787471496","37.5755767894"
