ars_id,standard_id,station_name,x_coord,y_coord
1224,100000128,창경궁.서울대학교병원,126.9967379,37.57881833
1225,100000129,이화동(이화장),127.0032823,37.57603475
1226,100000130,혜화동로터리,127.0008281,37.58572598
1227,100000131,명륜동2가.성균관대입구,126.9992936,37.58340673
1228,100000132,혜화역.서울연극센터(장면총리가옥),127.0014345,37.58403777
1229,100000133,혜화역.동성중고(장면총리가옥),127.0015281,37.58454158
1231,100000135,종로구민회관.창신동두산아파트,127.0155868,37.57409223
1235,100000139,동묘역앞,127.0156382,37.57168703
1236,100000140,동묘역앞,127.0157698,37.57189158
1237,101000307,청계2가교차로,126.9878779,37.5684809
1238,100000142,창신3동주민센터,127.0151881,37.57877438
1239,100000143,숭인1동주민센터,127.0152404,37.57875171
1240,100000144,동묘역.롯데캐슬천지인,127.015664,37.57418192
1243,100000147,신설동로터리,127.0229469,37.57585614
1245,100000364,동묘앞,127.0178407,37.57368465
1246,100000150,구기동현대빌라,126.9565957,37.60964243
1247,100000151,광장시장,126.9978384,37.56950211
1249,100000153,혜화경찰서,126.997571,37.57258424
1250,100000154,서울역사박물관.김구집무실(경교장),126.9721428,37.57002979
1251,100000155,청계3가.관수교,126.9937893,37.56860916
1252,100000156,청계6가.버들다리,127.0080442,37.56983829
1253,100000157,청계7가.맑은내다리,127.0129569,37.5699186
1254,100000158,청계8가.영도교,127.018274,37.57089463
1256,100000159,원남동사거리,126.9968912,37.57593041
1262,100000165,숭인동,127.0203787,37.57438126
1267,100000169,조계사,126.9830466,37.57279704
1272,100000174,세종문화회관,126.9766821,37.57334287
1277,100000179,이화동(이화장),127.0029997,37.5761872
1278,100000180,상명대정문,126.9550659,37.60166612
1279,100000181,이북오도청,126.955893,37.61305175
1286,100000188,상명대입구.세검정교회,126.9597659,37.59939339
1287,100000189,상명대입구.석파랑,126.9583524,37.59976676
1288,100000190,종로중부새마을금고,127.0065017,37.57239261
1289,100000191,신설동로터리.신한은행앞.서울풍물시장,127.023202,37.57438854
1291,100000192,청계2가.삼일교,126.9872038,37.56827105
1292,100000193,청계8가.황학교,127.0227587,37.57202421
1293,100000355,평창동삼성아파트,126.9786583,37.61114471
1294,100000370,안국역.종로경찰서.인사동,126.985459,37.57644246
1295,100000369,안국역.종로경찰서.인사동,126.9848482,37.57631159
1296,100000371,창덕궁,126.9890017,37.57730323
1500,100900047,평창파출소,126.9668407,37.60565062
1501,100900178,삼청공원,126.9816831,37.58820522
1502,100900041,수성동계곡,126.9642468,37.58207926
1503,100900040,명륜3가종점,126.992862,37.59094741
1504,100900197,명륜새마을금고,126.996701,37.587775
1505,100900044,서대문3번출구,126.9661707,37.56638695
1506,100900039,낙산공원,127.0087267,37.5804315
1507,100900037,세탁소,126.9893928,37.5814087
1508,100900036,평화동물병원,126.9648999,37.60477714
1509,100900035,금융연수원,126.9816318,37.58659721
1510,100900034,박노수미술관,126.9666083,37.58102384
1511,100900032,샘미용실,126.9932462,37.59031994
1512,100900031,서울국제고등학교,126.9972253,37.58909477
1513,100900029,평화동물병원,126.9652221,37.6050003
1514,100900188,적십자병원후문앞,126.9651082,37.56746105
1515,100900202,서울성곽.성대후문,126.9896242,37.58936828
1516,100900026,빨래터,126.9893435,37.58265202
1517,100900025,세검초등학교,126.9613774,37.60421635
1518,100900024,삼청동주민센터,126.9819214,37.58426224
1519,100900020,통인시장,126.9687475,37.58045056
1520,100900021,양현관,126.9936156,37.58979638
1521,100900017,국민생활관,126.9988862,37.58982995
1522,100900016,오거리,126.9622896,37.60708503
1523,100900015,경희궁자이2.3단지,126.963958,37.56872813
1524,100900013,창신쌍용2단지.한성대후문,127.012764,37.581314
1525,100900045,통일부,126.9856444,37.58757377
1526,100900011,원서고개,126.9878078,37.58313929
1528,100900009,종로5가입구.혜화경찰서,126.9976354,37.57175197
1529,100900007,삼청파출소,126.9812527,37.58181295
1530,100900005,오거리.한옥마을입구,126.9695468,37.57949911
1531,100900046,명륜시장.성대후문,126.9952895,37.58852435
1532,100900003,혜화초등학교,126.9998817,37.58725861
1533,100900072,청련사입구,126.9624033,37.60802413
1534,100900071,영천시장,126.9627339,37.56993749
1535,100900070,명신초.삼선푸르지오.힐스테이트,127.0145303,37.58214747
1536,100900069,감사원,126.9853527,37.58630021
1537,100900068,중앙중고,126.9869646,37.58313014
1538,100900067,인왕빌딩,126.9576748,37.60787761
1539,100900066,종로4가.종묘공원,126.9933354,37.57053493
1540,100900174,국립민속박물관,126.9795529,37.57925522
1541,100900065,광화문새마을금고,126.971144,37.5794299
1542,100900064,새마을금고,126.996533,37.587764
1543,100900063,혜화우체국,127.000652,37.58606005
1544,100900062,언덕앞,126.9637502,37.60897784
1545,100900061,경희궁자이4단지,126.9620022,37.57062718
1546,100900060,종로센트레빌후문.e편한세상보문아파트,127.0161805,37.58181551
1547,100900059,사우디대사관앞.경남빌라,126.9850108,37.58410605
1548,100900058,안국선원.삼거리,126.9849937,37.58279098
1549,100900182,구기터널입구,126.9568023,37.60824748
1550,100900057,종로3가.1.3.5호선,126.9920673,37.5710577
1551,100900056,경복궁,126.9794156,37.57694919
1552,100900055,경복궁역,126.9723619,37.57669709
1553,100900054,소나무집,126.9641242,37.61133533
1554,100900186,독립문역3번출구,126.9596864,37.57284056
1555,100900053,청룡사.보문파크뷰자이아파트,127.0170513,37.58001947
1556,100900052,북촌한옥마을입구.정세권활동터,126.9849792,37.58159945
1557,100900217,종로1.2.3.4가동주민센터,126.9910279,37.5743637
1558,100900051,창덕궁,126.9905176,37.57606978
1561,100900050,아름다운실버,126.9654343,37.61202201
1562,100900049,독립문초등학교,126.9607061,37.57385981
1563,100900206,종로센트레빌아파트,127.0156407,37.58034969
1564,100900048,가회동주민센터,126.9849331,37.5799374
1565,100900097,문방구,126.9579492,37.6062969
1566,100900096,원남로터리,126.9973507,37.57622486
1567,100900095,보현산신각,126.9657637,37.61347641
1568,100900094,천사유치원,126.9618149,37.57467705
1569,100900093,쌍용아파트입구.창신역,127.0150007,37.58051063
1570,100900092,아름다운가게.정독도서관,126.9850932,37.57891938
1571,100900091,산정빌라,126.9574985,37.60515273
1572,100900090,이화사거리,127.0021147,37.57647127
1573,100900089,혜원사,126.9676637,37.61433238
1574,100900088,무악현대아파트후문,126.9619725,37.57630822
1576,100900086,헌법재판소.안국역,126.9857196,37.57757327
1577,100900184,청구빌라,126.9569707,37.60461247
1578,100900085,서울대어린이병원응급실.갑상선센터,126.9994856,37.57815458
1580,100900083,화인빌라,126.9685484,37.61297509
1581,100900082,넓은마당,126.9628884,37.57527297
1582,100900207,창신초등학교,127.015387,37.57690312
1583,100900081,수운회관,126.9866595,37.57519246
1584,100900080,상명대후문,126.9573503,37.6040312
1586,100900079,힐탑,126.9690414,37.61163964
1587,100900187,신학대학교총회본부,126.9634435,37.57397598
1589,100900078,낙원상가,126.9874228,37.57372579
1590,100900077,완성빌라,126.9575212,37.60340672
1591,100900076,서울대병원장례식장,126.9974252,37.58053639
1592,100900075,혜화역1번출구,127.0017606,37.58343559
1593,100900074,파라과이대사관,126.9699425,37.61240568
1594,100900073,한국사회과학자료원,126.9640915,37.57365155
1595,100900205,동묘역,127.0142449,37.5726953
1596,100900121,금강제화,126.98757,37.57055096
1597,100900120,경진빌라,126.9578485,37.60199096
1598,100900198,성균관대학교앞,126.9992644,37.58337953
1599,100900176,광화문한국통신,126.9772156,37.57190009
1607,100900119,EN갤러리,126.9706926,37.61344769
1667,100900118,종로문화센터,126.9645715,37.57466302
1682,100900117,동대문역.2번출구,127.0117451,37.57198805
1683,100900116,종각역YMCA,126.9853306,37.57027694
1684,100900115,서교빌라,126.9571666,37.60203769
1685,100900177,경복궁역,126.972396,37.57705527
1686,100900195,연건동,127.0007564,37.57606354
1697,100900199,성대입구,126.9989021,37.58323265
1698,100900114,무애사,126.9718335,37.61390077
1699,100900113,단군성전앞,126.9652997,37.57558773
1702,100900192,동대문종합시장,127.0062452,37.57116462
1714,100900112,상명초등학교,126.9566832,37.60093683
1720,100900179,법련사,126.9795903,37.57658927
1721,100900111,광화문새마을금고,126.9710253,37.57954714
1722,100900110,성균관대학교,126.9971587,37.58501732
1723,100900109,제1놀이터,126.9741219,37.61460832
1724,100900108,활터앞,126.9653646,37.57685248
1725,100900107,종로5가.3번출구,127.0019717,37.57142206
1727,100900106,인사동들머리.3.1독립선언터,126.9832651,37.57202968
1728,100900105,정독도서관,126.9800442,37.58021772
1729,100900104,오거리.한옥마을입구,126.9697374,37.57951132
1732,100900103,밀알기도원,126.9757357,37.61639742
1733,100000360,창경궁.고궁호텔.메이플레이스호텔,126.99731,37.57654775
1762,100000329,광화문,126.9738308,37.57019505
1763,100000330,종로1가,126.9804547,37.570265
1766,100000333,종로2가,126.9855774,37.57008732
1767,100000334,종로3가,126.9907536,37.57042776
1768,100000335,종로3가,126.9909823,37.57025401
1769,100000336,종로4가,126.9968559,37.57056638
1771,100000338,동대문종합시장종로6가,127.0032038,37.57091298
1776,100900102,종로도서관,126.9670812,37.57654334
1777,100000343,경복궁역,126.9714987,37.57608156
1778,100000344,경복궁역,126.9713268,37.57590864
1779,100000345,안국역,126.985306,37.57651894
1780,100000346,안국역,126.985428,37.57642868
1781,100000347,창덕궁,126.988901,37.57742291
1782,100000348,성대입구,126.9995811,37.58366564
1790,100900101,종로사우나,126.9875872,37.57374132
1791,100900180,엄마분식,126.9557385,37.60126624
1792,100900100,삼청파출소,126.9812398,37.58168273
1793,100900099,통인시장.종로구보건소,126.968674,37.58032702
1794,100900191,종로5가역,127.0000159,37.57077778
1795,100900098,평창공원지킴터입구,126.9770157,37.61727036
1796,100900145,배화여중고,126.9678404,37.57676539
1797,100900143,대학로입구.이화사거리,127.0025921,37.57608577
1798,100900144,운현궁,126.9868071,37.57523204
1799,100900142,상명대입구,126.9570083,37.6000343
1800,100900141,삼청동주민센터,126.982067,37.58470051
1801,100900140,박노수미술관,126.9669162,37.5810715
1802,100900139,명동의류,126.9783839,37.61634256
1803,100900138,사직동주민센터,126.9689265,37.57626303
1804,100900137,충신시장,127.0054957,37.57502156
1805,100900189,안국역2번출구앞,126.9860701,37.57715641
1807,100900135,금융연수원,126.9817788,37.58586652
1809,100900134,감람산기도원,126.9798977,37.61594859
